Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

19760	1	19760	7,60063457
19770	1	19770	7,600024
19780	1	19780	7,600024
19790	1	19790	7,599719
19800	1	19800	7,599414
19810	1	19810	7,599719
19820	1	19820	7,60155
19830	1	19830	7,60216045
19840	0	19840	7,60216045
19850	0	19850	7,603076
19860	0	19860	7,60399151
19870	0	19870	7,604602
19880	0	19880	7,60429668
19890	0	19890	7,60399151
19900	0	19900	7,60429668
19910	0	19910	7,604602
19920	0	19920	7,60368633
19930	0	19930	7,603076
19940	0	19940	7,603381
19950	0	19950	7,60368633
19960	0	19960	7,60368633
19970	0	19970	7,603076
19980	1	19980	7,60155
19990	1	19990	7,601245
20000	1	20000	7,603381
20010	1	20010	7,60399151
20020	1	20020	7,60399151
20030	1	20030	7,60399151
20040	1	20040	7,60368633
20050	0	20050	7,603381
20060	0	20060	7,60368633
20070	0	20070	7,603381
20080	0	20080	7,603076
20090	0	20090	7,603076
20100	0	20100	7,603076
20110	0	20110	7,60185528
20120	0	20120	7,60093975
20130	0	20130	7,60063457
20140	0	20140	7,599719
20150	0	20150	7,60063457
20160	0	20160	7,60185528
20170	0	20170	7,603076
20180	1	20180	7,60399151
20190	1	20190	7,60368633
20200	1	20200	7,603381
20210	1	20210	7,60399151
20220	1	20220	7,60399151
20230	1	20230	7,60246563
20240	1	20240	7,60155
20250	0	20250	7,601245
20260	0	20260	7,601245
20270	0	20270	7,601245
20280	0	20280	7,601245
20290	0	20290	7,60093975
20300	0	20300	7,60155
20310	0	20310	7,60185528
20320	0	20320	7,60246563
20330	0	20330	7,60368633
20340	0	20340	7,60429668
20350	0	20350	7,60429668
20360	1	20360	7,60399151
20370	1	20370	7,604602
20380	1	20380	7,60399151
20390	1	20390	7,603381
20400	1	20400	7,60368633
20410	1	20410	7,60368633
20420	1	20420	7,603381
20430	1	20430	7,60246563
20440	0	20440	7,60216045
20450	0	20450	7,603076
20460	0	20460	7,603076
20470	0	20470	7,60246563
20480	0	20480	7,603381
20490	0	20490	7,60399151
20500	0	20500	7,60429668
20510	0	20510	7,605212
20520	0	20520	7,605212
20530	0	20530	7,60429668
20540	0	20540	7,60368633
20550	0	20550	7,603076
20560	1	20560	7,603076
20570	1	20570	7,603381
20580	1	20580	7,60185528
20590	1	20590	7,60155
20600	1	20600	7,60216045
20610	1	20610	7,60368633
20620	1	20620	7,60399151
20630	0	20630	7,604602
20640	0	20640	7,60582256
20650	0	20650	7,604602
20660	0	20660	7,60429668
20670	0	20670	7,605212
20680	0	20680	7,60612774
20690	0	20690	7,60612774
20700	0	20700	7,606433
20710	0	20710	7,606738
20720	0	20720	7,606738
20730	0	20730	7,60704327
20740	0	20740	7,606433
20750	0	20750	7,604907
20760	1	20760	7,60368633
20770	1	20770	7,603076
20780	1	20780	7,60429668
20790	1	20790	7,605212
20800	1	20800	7,604602
20810	1	20810	7,604907
20820	1	20820	7,60612774
20830	1	20830	7,606433
20840	0	20840	7,606738
20850	0	20850	7,606433
20860	0	20860	7,60582256
20870	0	20870	7,604907
20880	0	20880	7,604602
20890	0	20890	7,604602
20900	0	20900	7,60429668
20910	0	20910	7,60399151
20920	0	20920	7,60429668
20930	0	20930	7,604907
20940	0	20940	7,604907
20950	0	20950	7,604907
20960	1	20960	7,605212
20970	1	20970	7,60582256
20980	1	20980	7,604907
20990	1	20990	7,60429668
21000	1	21000	7,604602
21010	1	21010	7,60368633
21020	1	21020	7,603381
21030	0	21030	7,603381
21040	0	21040	7,603381
21050	0	21050	7,603381
21060	0	21060	7,60185528
21070	0	21070	7,601245
21080	0	21080	7,60093975
21090	0	21090	7,60216045
21100	0	21100	7,603076
21110	0	21110	7,60246563
21120	0	21120	7,60368633
21130	0	21130	7,60368633
21140	0	21140	7,60429668
21150	0	21150	7,60368633
21160	1	21160	7,603076
21170	1	21170	7,60368633
21180	1	21180	7,603381
21190	1	21190	7,60246563
21200	1	21200	7,60185528
21210	1	21210	7,60063457
21220	1	21220	7,600024
21230	0	21230	7,599414
21240	0	21240	7,59849834
21250	0	21250	7,599414
21260	0	21260	7,600024
21270	0	21270	7,600024
21280	0	21280	7,600024
21290	0	21290	7,600024
21300	0	21300	7,60093975
21310	0	21310	7,60155
21320	0	21320	7,60155
21330	0	21330	7,601245
21340	0	21340	7,60063457
21350	0	21350	7,60093975
21360	1	21360	7,60093975
21370	1	21370	7,60063457
21380	1	21380	7,60093975
21390	1	21390	7,60063457
21400	1	21400	7,599719
21410	1	21410	7,599719
21420	1	21420	7,60063457
21430	0	21430	7,60093975
21440	0	21440	7,60063457
21450	0	21450	7,60063457
21460	0	21460	7,60063457
21470	0	21470	7,60093975
21480	0	21480	7,60063457
21490	0	21490	7,600024
21500	0	21500	7,60093975
21510	0	21510	7,600024
21520	0	21520	7,599719
21530	0	21530	7,5991087
21540	0	21540	7,599414
21550	0	21550	7,599719
21560	0	21560	7,599719
21570	0	21570	7,599719
21580	0	21580	7,599414
21590	0	21590	7,599414
21600	0	21600	7,60063457
21610	0	21610	7,60063457
21620	0	21620	7,600024
21630	0	21630	7,599719
21640	0	21640	7,600024
21650	0	21650	7,5991087
21660	0	21660	7,598193
21670	0	21670	7,597583
21680	1	21680	7,595752
21690	1	21690	7,595752
21700	1	21700	7,59697247
21710	1	21710	7,59666729
21720	1	21720	7,596362
21730	1	21730	7,59727764
21740	1	21740	7,59697247
21750	1	21750	7,59697247
21760	1	21760	7,59697247
21770	0	21770	7,59666729
21780	0	21780	7,59697247
21790	0	21790	7,59666729
21800	0	21800	7,59697247
21810	0	21810	7,59849834
21820	0	21820	7,59849834
21830	0	21830	7,597583
21840	0	21840	7,59727764
21850	0	21850	7,59697247
21860	0	21860	7,59727764
21870	0	21870	7,597583
21880	0	21880	7,59849834
21890	0	21890	7,59880352
21900	0	21900	7,5991087
21910	1	21910	7,599414
21920	1	21920	7,599414
21930	1	21930	7,599719
21940	1	21940	7,599414
21950	1	21950	7,599719
21960	1	21960	7,60063457
21970	1	21970	7,60063457
21980	1	21980	7,599719
21990	0	21990	7,599719
22000	0	22000	7,599414
22010	0	22010	7,5991087
22020	0	22020	7,59849834
22030	0	22030	7,597583
22040	0	22040	7,598193
22050	0	22050	7,599414
22060	0	22060	7,600024
22070	0	22070	7,60063457
22080	0	22080	7,600024
22090	0	22090	7,600024
22100	0	22100	7,600024
22110	1	22110	7,600024
22120	1	22120	7,600024
22130	1	22130	7,60063457
22140	1	22140	7,600024
22150	1	22150	7,599719
22160	1	22160	7,599414
22170	1	22170	7,59849834
22180	1	22180	7,598193
22190	0	22190	7,597583
22200	0	22200	7,59727764
22210	0	22210	7,597583
22220	0	22220	7,59849834
22230	0	22230	7,599414
22240	0	22240	7,599414
22250	0	22250	7,600024
22260	0	22260	7,60155
22270	0	22270	7,601245
22280	0	22280	7,60063457
22290	0	22290	7,60063457
22300	0	22300	7,601245
22310	1	22310	7,60063457
22320	1	22320	7,599414
22330	1	22330	7,600024
22340	1	22340	7,60093975
22350	1	22350	7,599719
22360	1	22360	7,5991087
22370	1	22370	7,5991087
22380	0	22380	7,599719
22390	0	22390	7,599719
22400	0	22400	7,600024
22410	0	22410	7,601245
22420	0	22420	7,601245
22430	0	22430	7,60093975
22440	0	22440	7,60063457
22450	0	22450	7,600024
22460	0	22460	7,599414
22470	0	22470	7,599414
22480	0	22480	7,599414
22490	0	22490	7,599719
22500	0	22500	7,599719
22510	0	22510	7,599414
22520	1	22520	7,59727764
22530	1	22530	7,59697247
22540	1	22540	7,5991087
22550	1	22550	7,600024
22560	1	22560	7,60093975
22570	1	22570	7,600024
22580	1	22580	7,600024
22590	1	22590	7,60093975
22600	0	22600	7,599719
22610	0	22610	7,59880352
22620	0	22620	7,599414
22630	0	22630	7,599719
22640	0	22640	7,5991087
22650	0	22650	7,59849834
22660	0	22660	7,59666729
22670	0	22670	7,596057
22680	0	22680	7,595752
22690	0	22690	7,594531
22700	0	22700	7,594226
22710	0	22710	7,594836
22720	1	22720	7,594226
22730	1	22730	7,592395
22740	1	22740	7,5914793
22750	1	22750	7,589038
22760	1	22760	7,586596
22770	1	22770	7,58415461
22780	1	22780	7,58201838
22790	1	22790	7,579882
22800	0	22800	7,57683039
22810	0	22810	7,57347345
22820	0	22820	7,56981134
22830	0	22830	7,56370735
22840	0	22840	7,556383
22850	0	22850	7,551195
22860	0	22860	7,54387
22870	0	22870	7,533494
22880	0	22880	7,52342272
22890	0	22890	7,512131
22900	0	22900	7,497177
22910	1	22910	7,47978163
22920	1	22920	7,460555
22930	1	22930	7,436445
22940	1	22940	7,40379047
22950	1	22950	7,367168
22960	1	22960	7,33451366
22970	1	22970	7,29789162
22980	1	22980	7,2438736
22990	0	22990	7,18131065
23000	0	23000	7,120884
23010	0	23010	7,050691
23020	0	23020	6,958525
23030	0	23030	6,86025572
23040	0	23040	6,740623
23050	0	23050	6,57582331
23060	0	23060	6,416517
23070	0	23070	6,295663
23080	0	23080	6,19129
23090	0	23090	6,096072
23100	0	23100	6,013367
23110	1	23110	5,944395
23120	1	23120	5,878475
23130	1	23130	5,80828238
23140	1	23140	5,749077
23150	1	23150	5,71703243
23160	1	23160	5,694144
23170	1	23170	5,642567
23180	1	23180	5,56352425
23190	0	23190	5,50157166
23200	0	23200	5,45976162
23210	0	23210	5,444197
23220	0	23220	5,45945644
23230	0	23230	5,484176
23240	0	23240	5,49363661
23250	0	23250	5,472579
23260	0	23260	5,44480753
23270	0	23270	5,44084024
23280	0	23280	5,460677
23290	0	23290	5,48478651
23300	0	23300	5,502182
23310	0	23310	5,51683044
23320	0	23320	5,53086948
23330	0	23330	5,538194
23340	0	23340	5,539415
23350	1	23350	5,55070639
23360	1	23360	5,57969952
23370	1	23370	5,62486649
23380	1	23380	5,683157
23390	1	23390	5,755486
23400	1	23400	5,8253727
23410	1	23410	5,876644
23420	1	23420	5,92944145
23430	0	23430	6,01245165
23440	0	23440	6,14337635
23450	0	23450	6,27887774
23460	0	23460	6,422315
23470	0	23470	6,593219
23480	0	23480	6,74398
23490	0	23490	6,85445738
23500	0	23500	6,94357157
23510	0	23510	7,025666
23520	0	23520	7,09768963
23530	0	23530	7,158422
23540	0	23540	7,21518564
23550	0	23550	7,269814
23560	1	23560	7,316813
23570	1	23570	7,35557127
23580	1	23580	7,390362
23590	1	23590	7,42362738
23600	1	23600	7,45292568
23610	1	23610	7,47795057
23620	1	23620	7,50144958
23630	0	23630	7,522507
23640	0	23640	7,53654575
23650	0	23650	7,54661655
23660	0	23660	7,556383
23670	0	23670	7,56553841
23680	0	23680	7,574084
23690	0	23690	7,579882
23700	0	23700	7,58568048
23710	0	23710	7,58964825
23720	0	23720	7,59178448
23730	0	23730	7,59392071
23740	0	23740	7,596362
23750	1	23750	7,59727764
23760	1	23760	7,59880352
23770	1	23770	7,60093975
23780	1	23780	7,60185528
23790	1	23790	7,603076
23800	1	23800	7,603381
23810	1	23810	7,603076
23820	1	23820	7,60246563
23830	0	23830	7,601245
23840	0	23840	7,601245
23850	0	23850	7,60246563
23860	0	23860	7,603381
23870	0	23870	7,60368633
23880	0	23880	7,60399151
23890	0	23890	7,60368633
23900	0	23900	7,603076
23910	0	23910	7,603076
23920	0	23920	7,60399151
23930	0	23930	7,60429668
23940	0	23940	7,60368633
23950	1	23950	7,60399151
23960	1	23960	7,60429668
23970	1	23970	7,603381
23980	1	23980	7,60216045
23990	1	23990	7,60185528
24000	1	24000	7,603381
24010	1	24010	7,60429668
24020	0	24020	7,60429668
24030	0	24030	7,604907
24040	0	24040	7,60582256
24050	0	24050	7,605212
24060	0	24060	7,604602
24070	0	24070	7,604907
24080	0	24080	7,60612774
24090	0	24090	7,606433
24100	0	24100	7,606738
24110	0	24110	7,605212
24120	0	24120	7,604907
24130	0	24130	7,605212
24140	1	24140	7,60429668
24150	1	24150	7,60399151
24160	1	24160	7,604602
24170	1	24170	7,604602
24180	1	24180	7,605212
24190	1	24190	7,60582256
24200	1	24200	7,605212
24210	1	24210	7,605212
24220	0	24220	7,605212
24230	0	24230	7,604907
24240	0	24240	7,60399151
24250	0	24250	7,603076
24260	0	24260	7,603076
24270	0	24270	7,60246563
24280	0	24280	7,60093975
24290	0	24290	7,600024
24300	0	24300	7,60063457
24310	0	24310	7,601245
24320	0	24320	7,60155
24330	0	24330	7,60216045
24340	1	24340	7,60216045
24350	1	24350	7,601245
24360	1	24360	7,60185528
24370	1	24370	7,60246563
24380	1	24380	7,60216045
24390	1	24390	7,60216045
24400	1	24400	7,60185528
24410	0	24410	7,60185528
24420	0	24420	7,60246563
24430	0	24430	7,60246563
24440	0	24440	7,60155
24450	0	24450	7,60093975
24460	0	24460	7,60093975
24470	0	24470	7,60185528
24480	0	24480	7,603076
24490	0	24490	7,60399151
24500	0	24500	7,60429668
24510	0	24510	7,60368633
24520	0	24520	7,603381
24530	1	24530	7,60368633
24540	1	24540	7,60368633
24550	1	24550	7,60399151
24560	1	24560	7,60368633
24570	1	24570	7,60216045
24580	1	24580	7,60216045
24590	1	24590	7,60185528
24600	0	24600	7,599719
24610	0	24610	7,59880352
24620	0	24620	7,599414
24630	0	24630	7,600024
24640	0	24640	7,599414
24650	0	24650	7,599719
24660	0	24660	7,600024
24670	0	24670	7,60063457
24680	0	24680	7,60063457
24690	0	24690	7,599414
24700	0	24700	7,599719
24710	0	24710	7,60063457
24720	1	24720	7,59849834
24730	1	24730	7,59697247
24740	1	24740	7,597583
24750	1	24750	7,59727764
24760	1	24760	7,59727764
24770	1	24770	7,597583
24780	1	24780	7,59727764
24790	1	24790	7,59727764
24800	0	24800	7,59849834
24810	0	24810	7,597583
24820	0	24820	7,59727764
24830	0	24830	7,597583
24840	0	24840	7,59727764
24850	0	24850	7,59666729
24860	0	24860	7,596362
24870	0	24870	7,596362
24880	0	24880	7,59514141
24890	0	24890	7,59514141
24900	0	24900	7,59514141
24910	0	24910	7,594836
24920	0	24920	7,594531
24930	1	24930	7,59331036
24940	1	24940	7,5927
24950	1	24950	7,59392071
24960	1	24960	7,59361553
24970	1	24970	7,59331036
24980	1	24980	7,594531
24990	1	24990	7,59514141
25000	1	25000	7,594531
25010	0	25010	7,59392071
25020	0	25020	7,59514141
25030	0	25030	7,596057
25040	0	25040	7,594531
25050	0	25050	7,594226
25060	0	25060	7,594531
25070	0	25070	7,594836
25080	0	25080	7,594226
25090	0	25090	7,5927
25100	0	25100	7,59361553
25110	0	25110	7,595752
25120	0	25120	7,59666729
25130	1	25130	7,59666729
25140	1	25140	7,59697247
25150	1	25150	7,59727764
25160	1	25160	7,59880352
25170	1	25170	7,5991087
25180	1	25180	7,599414
25190	1	25190	7,599719
25200	1	25200	7,5991087
25210	0	25210	7,59880352
25220	0	25220	7,59849834
25230	0	25230	7,59849834
25240	0	25240	7,59849834
25250	0	25250	7,598193
25260	0	25260	7,598193
25270	0	25270	7,59849834
25280	0	25280	7,59849834
25290	0	25290	7,5991087
25300	0	25300	7,5991087
25310	0	25310	7,59880352
25320	0	25320	7,5991087
25330	0	25330	7,59849834
25340	1	25340	7,599719
25350	1	25350	7,60155
25360	1	25360	7,60063457
25370	1	25370	7,599719
25380	1	25380	7,599414
25390	1	25390	7,599414
25400	1	25400	7,599719
25410	0	25410	7,5991087
25420	0	25420	7,598193
25430	0	25430	7,598193
25440	0	25440	7,597583
25450	0	25450	7,59849834
25460	0	25460	7,599719
25470	0	25470	7,60093975
25480	0	25480	7,600024
25490	0	25490	7,600024
25500	0	25500	7,600024
25510	0	25510	7,600024
25520	0	25520	7,60063457
25530	0	25530	7,599414
25540	1	25540	7,59880352
25550	1	25550	7,599414
25560	1	25560	7,600024
25570	1	25570	7,5991087
25580	1	25580	7,59880352
25590	1	25590	7,598193
25600	1	25600	7,59727764
25610	1	25610	7,59697247
25620	1	25620	7,598193
25630	1	25630	7,59849834
25640	0	25640	7,598193
25650	0	25650	7,59880352
25660	0	25660	7,599414
25670	0	25670	7,60063457
25680	0	25680	7,600024
25690	0	25690	7,600024
25700	0	25700	7,60093975
25710	0	25710	7,601245
25720	0	25720	7,601245
25730	0	25730	7,601245
25740	0	25740	7,60185528
25750	0	25750	7,60155
25760	0	25760	7,601245
25770	0	25770	7,60216045
25780	0	25780	7,60246563
25790	0	25790	7,60216045
25800	0	25800	7,60185528
25810	0	25810	7,60185528
25820	0	25820	7,60246563
25830	0	25830	7,60246563
25840	0	25840	7,60246563
25850	0	25850	7,60185528
25860	0	25860	7,601245
25870	0	25870	7,601245
25880	0	25880	7,601245
25890	0	25890	7,60063457
25900	0	25900	7,5991087
25910	1	25910	7,5991087
25920	1	25920	7,599719
25930	1	25930	7,60063457
25940	1	25940	7,601245
25950	1	25950	7,60093975
25960	1	25960	7,60093975
25970	1	25970	7,601245
25980	1	25980	7,60093975
25990	0	25990	7,60093975
26000	0	26000	7,60093975
26010	0	26010	7,601245
26020	0	26020	7,60093975
26030	0	26030	7,601245
26040	0	26040	7,601245
26050	0	26050	7,60063457
26060	0	26060	7,600024
26070	0	26070	7,599719
26080	0	26080	7,600024
26090	0	26090	7,601245
26100	0	26100	7,601245
26110	0	26110	7,5991087
26120	1	26120	7,5991087
26130	1	26130	7,60063457
26140	1	26140	7,600024
26150	1	26150	7,599719
26160	1	26160	7,599719
26170	1	26170	7,599414
26180	1	26180	7,59849834
26190	0	26190	7,597583
26200	0	26200	7,597583
26210	0	26210	7,59727764
26220	0	26220	7,59727764
26230	0	26230	7,59727764
26240	0	26240	7,59880352
26250	0	26250	7,599719
26260	0	26260	7,600024
26270	0	26270	7,60155
26280	0	26280	7,60246563
26290	0	26290	7,60216045
26300	1	26300	7,60185528
26310	1	26310	7,60185528
26320	1	26320	7,60246563
26330	1	26330	7,60246563
26340	1	26340	7,60185528
26350	1	26350	7,60185528
26360	1	26360	7,60185528
26370	1	26370	7,60155
26380	0	26380	7,60063457
26390	0	26390	7,60063457
26400	0	26400	7,60155
26410	0	26410	7,603076
26420	0	26420	7,60368633
26430	0	26430	7,603381
26440	0	26440	7,60399151
26450	0	26450	7,604602
26460	0	26460	7,60399151
26470	0	26470	7,604602
26480	0	26480	7,605212
26490	1	26490	7,60399151
26500	1	26500	7,603381
26510	1	26510	7,603381
26520	1	26520	7,60185528
26530	1	26530	7,601245
26540	1	26540	7,60155
26550	1	26550	7,60216045
26560	1	26560	7,603076
26570	0	26570	7,60246563
26580	0	26580	7,60246563
26590	0	26590	7,60246563
26600	0	26600	7,603381
26610	0	26610	7,60399151
26620	0	26620	7,60429668
26630	0	26630	7,604907
26640	0	26640	7,604907
26650	0	26650	7,60429668
26660	0	26660	7,603076
26670	0	26670	7,60246563
26680	0	26680	7,60246563
26690	0	26690	7,60155
26700	0	26700	7,60155
26710	0	26710	7,60155
26720	1	26720	7,60093975
26730	1	26730	7,60155
26740	1	26740	7,60216045
26750	1	26750	7,60216045
26760	1	26760	7,603381
26770	1	26770	7,60429668
26780	1	26780	7,604602
26790	1	26790	7,604602
26800	0	26800	7,604602
26810	0	26810	7,604602
26820	0	26820	7,604907
26830	0	26830	7,604602
26840	0	26840	7,604907
26850	0	26850	7,60582256
26860	0	26860	7,604602
26870	0	26870	7,603381
26880	0	26880	7,60246563
26890	0	26890	7,603076
26900	0	26900	7,603381
26910	0	26910	7,60368633
26920	0	26920	7,60399151
26930	1	26930	7,60368633
26940	1	26940	7,603076
26950	1	26950	7,603076
26960	1	26960	7,60155
26970	1	26970	7,60185528
26980	1	26980	7,60216045
26990	1	26990	7,60246563
27000	1	27000	7,60216045
27010	0	27010	7,601245
27020	0	27020	7,600024
27030	0	27030	7,599414
27040	0	27040	7,5991087
27050	0	27050	7,5991087
27060	0	27060	7,5991087
27070	0	27070	7,599719
27080	0	27080	7,60063457
27090	0	27090	7,60063457
27100	0	27100	7,60155
27110	0	27110	7,601245
27120	0	27120	7,601245
27130	0	27130	7,60185528
27140	1	27140	7,601245
27150	1	27150	7,60185528
27160	1	27160	7,60185528
27170	1	27170	7,60093975
27180	1	27180	7,60185528
27190	1	27190	7,603076
27200	1	27200	7,603381
27210	1	27210	7,60216045
27220	0	27220	7,60155
27230	0	27230	7,60216045
27240	0	27240	7,603076
27250	0	27250	7,603381
27260	0	27260	7,603381
27270	0	27270	7,60368633
27280	0	27280	7,60399151
27290	0	27290	7,603381
27300	0	27300	7,603381
27310	0	27310	7,60368633
27320	0	27320	7,603381
27330	0	27330	7,60368633
27340	1	27340	7,603381
27350	1	27350	7,60246563
27360	1	27360	7,60185528
27370	1	27370	7,600024
27380	1	27380	7,599414
27390	1	27390	7,599414
27400	1	27400	7,599414
27410	1	27410	7,599414
27420	0	27420	7,599719
27430	0	27430	7,60063457
27440	0	27440	7,600024
27450	0	27450	7,599719
27460	0	27460	7,599719
27470	0	27470	7,59849834
27480	0	27480	7,59697247
27490	0	27490	7,596362
27500	0	27500	7,596057
27510	0	27510	7,595752
27520	0	27520	7,594226
27530	0	27530	7,59208965
27540	0	27540	7,591174
27550	0	27550	7,58964825
27560	0	27560	7,586901
27570	1	27570	7,58415461
27580	1	27580	7,58262873
27590	1	27590	7,581103
27600	1	27600	7,57866144
27610	1	27610	7,57560968
27620	1	27620	7,5716424
27630	1	27630	7,56706429
27640	0	27640	7,559435
27650	0	27650	7,5447855
27660	0	27660	7,51396227
27670	0	27670	7,45475674
27680	0	27680	7,368694
27690	0	27690	7,288125
27700	0	27700	7,241127
27710	0	27710	7,209082
27720	0	27720	7,18100548
27730	0	27730	7,16422033
27740	0	27740	7,15598
27750	0	27750	7,157811
27760	0	27760	7,16635656
27770	1	27770	7,168798
27780	1	27780	7,16361
27790	1	27790	7,157506
27800	1	27800	7,16147375
27810	1	27810	7,168798
27820	1	27820	7,17246
27830	1	27830	7,17520666
27840	0	27840	7,173681
27850	0	27850	7,16757727
27860	0	27860	7,154149
27870	0	27870	7,145299
27880	0	27880	7,14804554
27890	0	27890	7,15659046
27900	0	27900	7,16269445
27910	0	27910	7,150487
27920	0	27920	7,130039
27930	0	27930	7,12698746
27940	0	27940	7,13766861
27950	1	27950	7,14713
27960	1	27960	7,15598
27970	1	27970	7,172155
27980	1	27980	7,181616
27990	1	27990	7,18771935
28000	1	28000	7,20755625
28010	1	28010	7,24539948
28020	1	28020	7,309183
28030	0	28030	7,39127731
28040	0	28040	7,45780849
28050	0	28050	7,49992371
28060	0	28060	7,529221
28070	0	28070	7,545701
28080	0	28080	7,554247
28090	0	28090	7,563097
28100	0	28100	7,57011652
28110	0	28110	7,57499933
28120	0	28120	7,579577
28130	0	28130	7,583239
28140	0	28140	7,58598566
28150	1	28150	7,58720636
28160	1	28160	7,58873272
28170	1	28170	7,5914793
28180	1	28180	7,59208965
28190	1	28190	7,59208965
28200	1	28200	7,59361553
28210	1	28210	7,595752
28220	1	28220	7,59727764
28230	0	28230	7,5991087
28240	0	28240	7,60093975
28250	0	28250	7,60093975
28260	0	28260	7,60063457
28270	0	28270	7,60063457
28280	0	28280	7,60155
28290	0	28290	7,60246563
28300	0	28300	7,603076
28310	0	28310	7,60216045
28320	0	28320	7,60185528
28330	0	28330	7,60216045
28340	0	28340	7,60185528
28350	0	28350	7,60185528
28360	0	28360	7,60216045
28370	0	28370	7,60185528
28380	0	28380	7,60155
28390	0	28390	7,601245
28400	0	28400	7,60155
28410	0	28410	7,60093975
28420	0	28420	7,601245
28430	0	28430	7,601245
28440	0	28440	7,599719
28450	1	28450	7,5991087
28460	1	28460	7,599414
28470	1	28470	7,60063457
28480	1	28480	7,601245
28490	1	28490	7,60063457
28500	1	28500	7,599719
28510	1	28510	7,60063457
28520	1	28520	7,60155
28530	0	28530	7,60185528
28540	0	28540	7,60155
28550	0	28550	7,60185528
28560	0	28560	7,60155
28570	0	28570	7,60185528
28580	0	28580	7,60216045
28590	0	28590	7,60246563
28600	0	28600	7,603381
28610	0	28610	7,60246563
28620	0	28620	7,60216045
28630	0	28630	7,603381
28640	0	28640	7,60399151
28650	0	28650	7,604602
28660	0	28660	7,604907
28670	1	28670	7,60399151
28680	1	28680	7,603381
28690	1	28690	7,605212
28700	1	28700	7,60612774
28710	1	28710	7,604602
28720	1	28720	7,60429668
28730	1	28730	7,60399151
28740	0	28740	7,603381
28750	0	28750	7,603076
28760	0	28760	7,60155
28770	0	28770	7,60063457
28780	0	28780	7,60093975
28790	0	28790	7,601245
28800	0	28800	7,60216045
28810	0	28810	7,603381
28820	0	28820	7,60368633
28830	0	28830	7,60399151
28840	0	28840	7,604602
28850	0	28850	7,605212
28860	1	28860	7,604602
28870	1	28870	7,605212
28880	1	28880	7,60612774
28890	1	28890	7,604907
28900	1	28900	7,60429668
28910	1	28910	7,60399151
28920	1	28920	7,60246563
28930	1	28930	7,60246563
28940	0	28940	7,60216045
28950	0	28950	7,60155
28960	0	28960	7,60185528
28970	0	28970	7,60185528
28980	0	28980	7,60246563
28990	0	28990	7,60368633
29000	0	29000	7,60216045
29010	0	29010	7,60093975
29020	0	29020	7,600024
29030	0	29030	7,60093975
29040	0	29040	7,601245
29050	0	29050	7,60093975
29060	1	29060	7,599719
29070	1	29070	7,599414
29080	1	29080	7,600024
29090	1	29090	7,60063457
29100	1	29100	7,599719
29110	1	29110	7,59880352
29120	1	29120	7,599414
29130	1	29130	7,60093975
29140	1	29140	7,60185528
29150	0	29150	7,60155
29160	0	29160	7,60216045
29170	0	29170	7,603381
29180	0	29180	7,60368633
29190	0	29190	7,60429668
29200	0	29200	7,60368633
29210	0	29210	7,60399151
29220	0	29220	7,604602
29230	0	29230	7,60368633
29240	0	29240	7,603381
29250	0	29250	7,60399151
29260	0	29260	7,604602
29270	0	29270	7,604602
29280	0	29280	7,604602
29290	0	29290	7,604907
29300	0	29300	7,604602
29310	0	29310	7,60429668
29320	0	29320	7,60368633
29330	1	29330	7,601245
29340	1	29340	7,60093975
29350	1	29350	7,60246563
29360	1	29360	7,60399151
29370	1	29370	7,60399151
29380	1	29380	7,60399151
29390	1	29390	7,60399151
29400	1	29400	7,60368633
29410	0	29410	7,60399151
29420	0	29420	7,603381
29430	0	29430	7,60246563
29440	0	29440	7,603381
29450	0	29450	7,603076
29460	0	29460	7,60155
29470	0	29470	7,601245
29480	0	29480	7,601245
29490	0	29490	7,60093975
29500	0	29500	7,60093975
29510	0	29510	7,601245
29520	0	29520	7,60155
29530	1	29530	7,60093975
29540	1	29540	7,60155
29550	1	29550	7,603076
29560	1	29560	7,603381
29570	1	29570	7,60368633
29580	1	29580	7,603076
29590	1	29590	7,60246563
29600	0	29600	7,603076
29610	0	29610	7,603381
29620	0	29620	7,603381
29630	0	29630	7,603381
29640	0	29640	7,603076
29650	0	29650	7,60246563
29660	0	29660	7,603076
29670	0	29670	7,60399151
29680	0	29680	7,604907
29690	0	29690	7,604602
29700	0	29700	7,604602
29710	0	29710	7,60399151
29720	1	29720	7,603381
29730	1	29730	7,60399151
29740	1	29740	7,604602
