Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

2130	0	2130	7,60368633
2140	0	2140	7,60368633
2150	0	2150	7,60399151
2160	0	2160	7,60368633
2170	0	2170	7,603076
2180	0	2180	7,60155
2190	1	2190	7,5991087
2200	1	2200	7,59880352
2210	1	2210	7,600024
2220	1	2220	7,601245
2230	1	2230	7,60155
2240	1	2240	7,60093975
2250	1	2250	7,60093975
2260	1	2260	7,60093975
2270	0	2270	7,600024
2280	0	2280	7,599414
2290	0	2290	7,599719
2300	0	2300	7,60093975
2310	0	2310	7,60155
2320	0	2320	7,60185528
2330	0	2330	7,60185528
2340	0	2340	7,599719
2350	0	2350	7,5991087
2360	0	2360	7,600024
2370	0	2370	7,60155
2380	0	2380	7,60185528
2390	1	2390	7,60093975
2400	1	2400	7,60093975
2410	1	2410	7,60185528
2420	1	2420	7,60216045
2430	1	2430	7,60155
2440	1	2440	7,601245
2450	1	2450	7,60093975
2460	0	2460	7,600024
2470	0	2470	7,599719
2480	0	2480	7,5991087
2490	0	2490	7,59849834
2500	0	2500	7,59727764
2510	0	2510	7,59727764
2520	0	2520	7,599719
2530	0	2530	7,599719
2540	0	2540	7,599414
2550	0	2550	7,60063457
2560	0	2560	7,60185528
2570	0	2570	7,60185528
